date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:16	650566/650566	---M--	200	added ('OK')	image/png	etag:%229ed46-3eebd774e9400%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ca/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/ca/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ca/parallel.htm)
17:06:17	355330/355330	---M--	200	added ('OK')	image/png	etag:%2256c02-3eebd7ac39680%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ca/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/ca/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ca/parallel.htm)
17:06:18	399771/399771	---M--	200	added ('OK')	image/png	etag:%226199b-3eebda7963280%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/carms/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/carms/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/carms/parallel.htm)
17:06:19	172835/172835	---M--	200	added ('OK')	image/png	etag:%222a323-3eebda9046880%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/carms/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/carms/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/carms/parallel.htm)
17:06:19	98565/98565	---M--	200	added ('OK')	image/png	etag:%2218105-3eec1291d0b00%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/di/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/di/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/di/parallel.htm)
17:06:20	46573/46573	---M--	200	added ('OK')	image/png	etag:%22b5ed-3eec12cb09200%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/di/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/di/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/di/parallel.htm)
17:06:23	184028/184028	---M--	200	added ('OK')	image/png	etag:%222cedc-3eec1bcd05280%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/h/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/h/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/h/parallel.htm)
17:06:23	409882/409882	---M--	200	added ('OK')	image/png	etag:%226411a-3eec1bac98600%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/h/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/h/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/h/parallel.htm)
17:06:24	220698/220698	---M--	200	added ('OK')	image/png	etag:%2235e1a-3d95b0c323400%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/hr/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/hr/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/hr/parallel.htm)
17:06:24	97178/97178	---M--	200	added ('OK')	image/png	etag:%2217b9a-3d95b0d636100%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/hr/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/hr/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/hr/parallel.htm)
17:06:26	178419/178419	---M--	200	added ('OK')	image/png	etag:%222b8f3-3eec22b8f2700%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ld/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/ld/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ld/parallel.htm)
17:06:26	78764/78764	---M--	200	added ('OK')	image/png	etag:%22133ac-3eec22e6b9300%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ld/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/ld/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ld/parallel.htm)
